lang,quality_bin,bin_count
ar,0,274436
ar,10,431674
ar,20,476208
ar,30,41097
ar,40,6968
ar,50,3141
ar,60,1699
ar,70,1116
ar,80,792
ar,90,634
ar,100,178
az,0,73911
az,10,51643
az,20,63458
az,30,8557
az,40,1818
az,50,685
az,60,343
az,70,233
az,80,203
az,90,164
az,100,39
be,0,112963
be,10,58825
be,20,66700
be,30,4565
be,40,1053
be,50,410
be,60,192
be,70,103
be,80,87
be,90,69
be,100,18
bg,0,89981
bg,10,78381
bg,20,100790
bg,30,20673
bg,40,5176
bg,50,2197
bg,60,1135
bg,70,631
bg,80,426
bg,90,296
bg,100,101
ca,0,160310
ca,10,176595
ca,20,280128
ca,30,97486
ca,40,21286
ca,50,9211
ca,60,4956
ca,70,2774
ca,80,1864
ca,90,1312
ca,100,426
cs,0,204787
cs,10,155523
cs,20,116839
cs,30,49462
cs,40,14250
cs,50,4998
cs,60,2242
cs,70,1160
cs,80,733
cs,90,543
cs,100,129
da,0,187649
da,10,69990
da,20,33104
da,30,6743
da,40,1793
da,50,851
da,60,458
da,70,296
da,80,203
da,90,154
da,100,34
de,0,1009395
de,10,623034
de,20,721441
de,30,364680
de,40,112496
de,50,47150
de,60,24143
de,70,12941
de,80,8198
de,90,5563
de,100,1930
el,0,51950
el,10,42046
el,20,83881
el,30,37366
el,40,11624
el,50,5174
el,60,2458
el,70,1402
el,80,875
el,90,660
el,100,235
en,0,1125082
en,10,1899364
en,20,1826080
en,30,1010345
en,40,466714
en,50,229722
en,60,126930
en,70,78239
en,80,53726
en,90,36424
en,100,7804
eo,0,212112
eo,10,74953
eo,20,43158
eo,30,15970
eo,40,5224
eo,50,2916
eo,60,780
eo,70,530
eo,80,454
eo,90,446
eo,100,155
es,0,434119
es,10,656984
es,20,583624
es,30,145675
es,40,43970
es,50,18300
es,60,9430
es,70,5515
es,80,3813
es,90,2914
es,100,749
et,0,93350
et,10,47318
et,20,65097
et,30,23090
et,40,8619
et,50,4102
et,60,2318
et,70,1385
et,80,809
et,90,341
et,100,83
eu,0,206952
eu,10,39684
eu,20,131165
eu,30,44678
eu,40,4301
eu,50,1676
eu,60,987
eu,70,566
eu,80,301
eu,90,251
eu,100,116
fa,0,515481
fa,10,326089
fa,20,125553
fa,30,27757
fa,40,7408
fa,50,3037
fa,60,1484
fa,70,875
fa,80,595
fa,90,510
fa,100,180
fi,0,153548
fi,10,196458
fi,20,167712
fi,30,39083
fi,40,11118
fi,50,4403
fi,60,2207
fi,70,1407
fi,80,835
fi,90,665
fi,100,99
fr,0,981891
fr,10,817568
fr,20,549859
fr,30,153114
fr,40,56132
fr,50,31512
fr,60,17498
fr,70,9813
fr,80,5000
fr,90,3193
fr,100,630
gl,0,90468
gl,10,67338
gl,20,38076
gl,30,10131
gl,40,3218
gl,50,1621
gl,60,719
gl,70,404
gl,80,269
gl,90,208
gl,100,53
he,0,104420
he,10,75772
he,20,75919
he,30,63413
he,40,22044
he,50,8358
he,60,4232
he,70,2218
he,80,1441
he,90,844
he,100,368
hi,0,69370
hi,10,30696
hi,20,46607
hi,30,12372
hi,40,3613
hi,50,1626
hi,60,996
hi,70,687
hi,80,617
hi,90,235
hi,100,132
hr,0,64649
hr,10,34187
hr,20,66920
hr,30,26510
hr,40,7624
hr,50,3266
hr,60,1755
hr,70,1060
hr,80,681
hr,90,458
hr,100,250
hu,0,171436
hu,10,109370
hu,20,178538
hu,30,57975
hu,40,14419
hu,50,5802
hu,60,2782
hu,70,1752
hu,80,1232
hu,90,833
hu,100,288
hy,0,88500
hy,10,71184
hy,20,121833
hy,30,22198
hy,40,4880
hy,50,1642
hy,60,837
hy,70,481
hy,80,317
hy,90,260
hy,100,68
id,0,339711
id,10,185382
id,20,98321
id,30,39141
id,40,16805
id,50,7601
id,60,3994
id,70,2191
id,80,1538
id,90,1243
id,100,311
it,0,877486
it,10,532174
it,20,303669
it,30,105168
it,40,31249
it,50,12325
it,60,5904
it,70,3380
it,80,2129
it,90,1569
it,100,332
ja,0,618905
ja,10,414486
ja,20,254964
ja,30,82790
ja,40,28246
ja,50,12200
ja,60,6199
ja,70,3829
ja,80,1840
ja,90,763
ja,100,158
ka,0,91869
ka,10,27581
ka,20,40101
ka,30,9898
ka,40,2479
ka,50,917
ka,60,397
ka,70,252
ka,80,225
ka,90,165
ka,100,71
kk,0,93312
kk,10,70955
kk,20,73809
kk,30,1170
kk,40,324
kk,50,124
kk,60,77
kk,70,61
kk,80,43
kk,90,32
kk,100,9
ko,0,416133
ko,10,148241
ko,20,81263
ko,30,20667
ko,40,6843
ko,50,2827
ko,60,1421
ko,70,826
ko,80,558
ko,90,378
ko,100,81
la,0,77091
la,10,7185
la,20,28822
la,30,14690
la,40,7249
la,50,2375
la,60,1044
la,70,417
la,80,187
la,90,102
la,100,58
lt,0,87929
lt,10,53483
lt,20,66602
lt,30,5799
lt,40,963
lt,50,360
lt,60,130
lt,70,55
lt,80,21
lt,90,21
lt,100,6
ms,0,231973
ms,10,46312
ms,20,55169
ms,30,27439
ms,40,11469
ms,50,6524
ms,60,3351
ms,70,2041
ms,80,1657
ms,90,1037
ms,100,508
nl,0,988123
nl,10,360750
nl,20,737962
nl,30,49766
nl,40,14619
nl,50,6267
nl,60,2872
nl,70,1690
nl,80,959
nl,90,530
nl,100,177
nn,0,89541
nn,10,15959
nn,20,15510
nn,30,24718
nn,40,11910
nn,50,7278
nn,60,2905
nn,70,1197
nn,80,639
nn,90,312
nn,100,190
no,0,227251
no,10,142924
no,20,228701
no,30,25043
no,40,5257
no,50,2057
no,60,1058
no,70,603
no,80,402
no,90,321
no,100,152
pl,0,514780
pl,10,524949
pl,20,364491
pl,30,156571
pl,40,36871
pl,50,12814
pl,60,6306
pl,70,3342
pl,80,2129
pl,90,1513
pl,100,409
pt,0,307794
pt,10,426880
pt,20,267514
pt,30,70948
pt,40,27638
pt,50,12789
pt,60,6768
pt,70,4094
pt,80,2897
pt,90,2259
pt,100,580
ro,0,146327
ro,10,124471
ro,20,163122
ro,30,20124
ro,40,5419
ro,50,2733
ro,60,1109
ro,70,644
ro,80,445
ro,90,411
ro,100,103
ru,0,588262
ru,10,554572
ru,20,555575
ru,30,209552
ru,40,45212
ru,50,18125
ru,60,9332
ru,70,5056
ru,80,3345
ru,90,2152
ru,100,604
sh,0,104519
sh,10,144086
sh,20,181405
sh,30,23408
sh,40,3272
sh,50,1285
sh,60,734
sh,70,446
sh,80,314
sh,90,270
sh,100,145
simple,0,84087
simple,10,72629
simple,20,60745
simple,30,23345
simple,40,7049
simple,50,3270
simple,60,1791
simple,70,981
simple,80,604
simple,90,315
simple,100,161
sk,0,113348
sk,10,23091
sk,20,44844
sk,30,56080
sk,40,6534
sk,50,2789
sk,60,1391
sk,70,792
sk,80,356
sk,90,247
sk,100,145
sl,0,67919
sl,10,43041
sl,20,47811
sl,30,14154
sl,40,5962
sl,50,3112
sl,60,1777
sl,70,1061
sl,80,657
sl,90,449
sl,100,179
sr,0,145662
sr,10,371682
sr,20,147470
sr,30,17813
sr,40,5317
sr,50,2022
sr,60,1007
sr,70,565
sr,80,354
sr,90,283
sr,100,98
sv,0,396163
sv,10,415572
sv,20,1645750
sv,30,105972
sv,40,17113
sv,50,5218
sv,60,2523
sv,70,1485
sv,80,978
sv,90,588
sv,100,143
ta,0,31235
ta,10,2758
ta,20,74822
ta,30,43426
ta,40,9561
ta,50,3674
ta,60,1440
ta,70,755
ta,80,499
ta,90,189
ta,100,99
th,0,48860
th,10,47044
th,20,44935
th,30,14985
th,40,5271
th,50,2109
th,60,1119
th,70,698
th,80,411
th,90,312
th,100,93
tr,0,153083
tr,10,249267
tr,20,121935
tr,30,45211
tr,40,33436
tr,50,6509
tr,60,3399
tr,70,1982
tr,80,1333
tr,90,1016
tr,100,233
uk,0,394958
uk,10,268653
uk,20,490270
uk,30,140635
uk,40,24222
uk,50,9467
uk,60,5014
uk,70,2845
uk,80,1796
uk,90,930
uk,100,356
ur,0,70443
ur,10,88234
ur,20,44707
ur,30,5213
ur,40,1225
ur,50,559
ur,60,275
ur,70,184
ur,80,125
ur,90,115
ur,100,58
uz,0,99389
uz,10,109758
uz,20,72530
uz,30,11927
uz,40,3608
uz,50,1419
uz,60,638
uz,70,340
uz,80,177
uz,90,104
uz,100,18
vi,0,197227
vi,10,919861
vi,20,126081
vi,30,31292
vi,40,10233
vi,50,4449
vi,60,2339
vi,70,1316
vi,80,911
vi,90,791
vi,100,222
vo,0,9919
vo,10,8842
vo,20,16269
vo,30,51
vo,40,1190
vo,50,956
vo,60,214
vo,70,30
vo,80,14
vo,90,6
vo,100,4
zh,0,414092
zh,10,391480
zh,20,330758
zh,30,135103
zh,40,85605
zh,50,33647
zh,60,18366
zh,70,10847
zh,80,7051
zh,90,5032
zh,100,1045
zh-min-nan,0,131930
zh-min-nan,10,71117
zh-min-nan,20,61256
zh-min-nan,30,150242
zh-min-nan,40,17765
zh-min-nan,50,396
zh-min-nan,60,256
zh-min-nan,70,122
zh-min-nan,80,78
zh-min-nan,90,19
zh-min-nan,100,10
